epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4270.65,1.63908,2.41548,1.78112,0.53704,0.82966,0.62271,0.3156,1.37903,1.69233,1.57313,0.000665457,0.000665457,0.000665457
2,4802.94,1.45165,1.56422,1.62103,0.67725,0.73164,0.76671,0.44011,1.31369,1.37308,1.55293,0.00120024,0.00120024,0.00120024
3,5359.07,1.38983,1.21738,1.58736,0.63532,0.74806,0.69539,0.35427,1.37778,1.23292,1.64466,0.00160303,0.00160303,0.00160303
4,5884.51,1.31916,1.06588,1.53212,0.73772,0.82537,0.79159,0.44905,1.34811,1.28416,1.58934,0.001406,0.001406,0.001406
5,20044.6,1.27861,0.95526,1.49703,0.82427,0.87731,0.9026,0.52491,1.29193,0.96943,1.51932,0.001208,0.001208,0.001208
6,22989.1,1.20431,0.84293,1.43882,0.78251,0.8764,0.87024,0.53829,1.18167,0.97,1.44797,0.00101,0.00101,0.00101
7,24541.9,1.17109,0.80335,1.41265,0.78752,0.87134,0.84939,0.52877,1.22814,1.07225,1.49591,0.000812,0.000812,0.000812
8,25030.8,1.1172,0.73891,1.37041,0.81237,0.87629,0.89287,0.53645,1.16082,0.91616,1.39948,0.000614,0.000614,0.000614
9,25506.4,1.06597,0.68818,1.32958,0.86545,0.92934,0.94911,0.65162,1.06715,0.73655,1.34456,0.000416,0.000416,0.000416
10,25965.6,1.02164,0.64953,1.30229,0.89046,0.92696,0.95298,0.6592,1.05739,0.71244,1.33009,0.000218,0.000218,0.000218
